20703,1003,165,115,20110829,120506,9.30,8.77,37.40052,-122.03138,20.95,0.00593,0.00267,118.478,851.0000000000,21.20477,24.0242,30.9455,743.4411,34.93592,262.30728,28.62384,3.81232,31.42,528,0,48,129,161,218,31,2,1,1,27,33,15,1,37,45,28,28,0,241,19,0,0,
21705,1002,174,289,20110829,120507,8.53,9.71,37.40055,-122.03136,38.47,0.00267,0.00295,118.478,839.0000000000,9.63855,22.8793,32.0862,734.1104,76.41396,107.62032,13.08661,9.29193,29.42,524,0,48,129,161,218,1,24,1,13,0,36,15,1,37,45,28,28,1,11,15,0,0,
22708,1003,105,394,20110829,120508,9.01,11.46,37.40057,-122.03128,70.26,0.00476,0.00349,119.022,845.0000000000,15.42169,25.0190,35.5333,889.0101,52.07427,146.62329,19.20334,6.82020,31.42,528,0,48,129,161,219,1,17,1,17,0,35,15,1,39,45,28,28,1,59,13,0,0,
23709,1001,175,569,20110829,120509,10.79,10.84,37.40057,-122.03122,103.84,0.00293,0.00329,119.565,843.0000000000,13.49396,20.1429,36.0171,725.4882,68.79730,136.23324,14.53545,7.34035,31.93,529,0,41,129,161,220,1,1,11,30,3,0,13,1,39,45,28,28,1,42,7,0,0,
24711,1002,168,737,20110829,120510,11.22,10.00,37.40055,-122.03116,103.95,0.00352,0.00304,119.022,863.0000000000,32.77106,20.9405,32.7798,686.4238,54.34860,356.89398,18.39974,2.80195,33.45,532,0,51,129,161,219,30,1,0,1,34,5,16,1,39,45,28,28,1,19,19,0,0,
25713,1002,162,142,20110829,120511,10.52,11.20,37.40054,-122.03112,100.73,0.00268,0.00341,116.848,867.0000000000,36.62646,40.5926,40.6728,1651.0161,171.16267,349.63916,5.84240,2.86009,32.94,531,0,70,129,161,215,1,50,1,16,1,51,20,1,39,45,30,28,1,52,41,0,0,
26714,1001,161,303,20110829,120512,11.39,15.02,37.40057,-122.03096,45.09,0.00861,0.00456,117.935,844.0000000000,14.45782,42.6025,52.3354,2229.6181,71.96656,103.88433,13.89534,9.62609,39.15,543,0,55,129,161,217,26,1,1,0,46,25,21,1,39,45,30,28,1,157,17,0,0,
27715,1001,174,477,20110829,120513,13.68,15.53,37.40062,-122.03092,27.25,0.00411,0.00472,117.935,860.0000000000,29.87952,26.5517,46.2356,1227.6357,82.98281,207.65518,12.05069,4.81568,33.45,532,0,54,129,161,217,30,1,1,1,48,16,22,1,39,45,30,28,1,171,17,0,0,
28717,1002,175,652,20110829,120514,14.71,15.89,37.40067,-122.03089,20.65,0.00370,0.00483,119.022,845.0000000000,15.42169,20.1486,45.8743,924.3013,69.43881,105.68956,14.40117,9.46167,27.43,520,0,50,129,161,219,1,9,9,43,0,23,18,1,39,45,30,28,1,181,5,0,0,
29720,1003,176,828,20110829,120515,15.69,14.88,37.40079,-122.03086,15.87,0.00864,0.00453,119.565,818.0000000000,-10.60242,10.0341,41.5852,417.2700,13.46064,-77.99050,74.29070,-12.82208,35.50,536,0,35,129,161,220,3,1,22,0,39,35,16,1,39,45,30,30,1,153,1,0,0,
